budget,id,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,collection,genre,production_company,production_country,language,release_year,return,collection_id,genre_id,company_id
30000000,862,en,21.946943,1995-10-30,373554033.0,81.0,Toy Story,7.7,5415.0,Toy Story Collection,"Animation, Comedy, Family",Pixar Animation Studios,United States of America,English,1995,12.4518011,10194,"16, 35, 10751",3
65000000,8844,en,17.015539,1995-12-15,262797249.0,104.0,Jumanji,6.9,2413.0,,"Adventure, Fantasy, Family","TriStar Pictures, Teitler Film, Interscope Communications",United States of America,"English, Français",1995,4.0430346,,"12, 14, 10751","559, 2550, 10201"
0,15602,en,11.7129,1995-12-22,0.0,101.0,Grumpier Old Men,6.5,92.0,Grumpy Old Men Collection,"Romance, Comedy","Warner Bros., Lancaster Gate",United States of America,English,1995,0.0,119050,"10749, 35","6194, 19464"
16000000,31357,en,3.859495,1995-12-22,81452156.0,127.0,Waiting to Exhale,6.1,34.0,,"Comedy, Drama, Romance",Twentieth Century Fox Film Corporation,United States of America,English,1995,5.09075975,,"35, 18, 10749",306
0,11862,en,8.387519,1995-02-10,76578911.0,106.0,Father of the Bride Part II,5.7,173.0,Father of the Bride Collection,Comedy,"Sandollar Productions, Touchstone Pictures",United States of America,English,1995,inf,96871,35,"5842, 9195"
60000000,949,en,17.924927,1995-12-15,187436818.0,170.0,Heat,7.7,1886.0,,"Action, Crime, Drama, Thriller","Regency Enterprises, Forward Pass, Warner Bros.",United States of America,"English, Español",1995,3.123946966666667,,"28, 80, 18, 53","508, 675, 6194"
58000000,11860,en,6.677277,1995-12-15,0.0,127.0,Sabrina,6.2,141.0,,"Comedy, Romance","Paramount Pictures, Scott Rudin Productions, Mirage Enterprises, Sandollar Productions, Constellation Entertainment, Worldwide, Mont Blanc Entertainment GmbH","Germany, United States of America","Français, English",1995,0.0,,"35, 10749","4, 258, 932, 5842, 14941, 55873, 58079"
0,45325,en,2.561161,1995-12-22,0.0,97.0,Tom and Huck,5.4,45.0,,"Action, Adventure, Drama, Family",Walt Disney Pictures,United States of America,"English, Deutsch",1995,0.0,,"28, 12, 18, 10751",2
35000000,9091,en,5.23158,1995-12-22,64350171.0,106.0,Sudden Death,5.5,174.0,,"Action, Adventure, Thriller","Universal Pictures, Imperial Entertainment, Signature Entertainment",United States of America,English,1995,1.8385763142857143,,"28, 12, 53","33, 21437, 23770"
58000000,710,en,14.686036,1995-11-16,352194034.0,130.0,GoldenEye,6.6,1194.0,James Bond Collection,"Adventure, Action, Thriller","United Artists, Eon Productions","United Kingdom, United States of America","English, Pусский, Español",1995,6.072310931034483,645,"12, 28, 53","60, 7576"
